title,category,added,done,title_ko,keyword,way,quest_num
Bungee Jumping,entertainment,625,81,번지점프 해보기,sky,gps,25
Celebrate Holi in India,entertainment,3900,41,인도에서 홀리를 축하하다,india,gps,56
Ride a Unicycle,entertainment,1100,134,외발자전거 타기,unicycle,object,57
Go to disneyworld,entertainment,1000,320,디즈니월드에 가기,disneyworld,text,58
Drink wine in Italy,entertainment,786,238,이탈리아에서 와인을 마시기,italy,gps,59
Visit Versailles,entertainment,326,136,베르사유 가기,verailles,gps,60
See A Broadway Play,entertainment,296,802,브로드웨이 연극 보기,broadway,gps,61
Go to a nude beach,entertainment,226,30,누드비치 가보기,node beach,gps,62
Go to a jazz bar,entertainment,195,40,재즈바에 가다.,jazz bar,text,63
Eat gelato in Italy,entertainment,190,91,이탈리아에서 젤라또 먹기,gelato,gps,64
Make a kite and fly it,entertainment,108,33,연 날리기,kite,object,65
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
